"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"seperti";0;"saperti";"c";"--";"--";"saperti"
"seperti";1;"kawas";"c";"--";"--";"kawas"
"sepertinya";1;"jigana";"c";"--";"--";"jiga"
"sepupu";1;"misan";"pn";"pancakaki";;"misan"
"sering";1;"mindeng";"ad";"waktu";"--";"mindeng"
"serta";1;"sarta";"c";"--";"--";"sarta"
"sesaat";1;"sajongjonan";"ad";"waktu";;"jongjon"
"sesudahnya";1;"satutasna";"ad";"waktu";;"satutasna"
"sesungguhnya";1;"saéstuna";"ad";"--";"--";"éstu"
"setelah";1;"sanggeus";"ad";"waktu";"--";"geus"
"setempat";1;"satempat";"ad";"tempat";"--";"tempat"
"seterusnya";1;"saterusna";"ad";"--";"--";"saterusna"
"setiap";1;"saban";"ad";"--";"--";"saban"
"setiap kali";1;"unggal";"ad";"waktu";"--";"unggal"
"siapa";1;"saha";"q";"--";"--";"saha"
"silahkan";1;"mangga";"r";"--";"--";"mangga"
"silakan";1;"sumangga";"r";"--";"--";"sumangga"
"silih";1;"silih";"p";"--";"--";"silih"
"sini";1;"dieu";"ad";"tempat";"--";"dieu"
"sinilah";1;"dieu";"p";"tempat";"--";"dieu"
"situ";1;"dinya";"p";"tempat";"--";"dinya"
"situlah";1;"dinya";"p";"tempat";"--";"dinya"
"suami";1;"salaki";"pn";"pancakaki";"--";"salaki"
"suamiku";1;"salaki kuring";"pn";"pancakaki";"--";"laki"
"suaminya";1;"salakina";"pn";"pancakaki";"--";"laki"
"sudah";1;"geus";"m";"--";"--";"geus"
"suka";1;"resep";"m";"--";"--";"resep"
"sulung";1;"cikal";"pn";"pancakaki";"--";"cikal"
"sungguh";1;"éstuning";"ad";"--";"--";"éstu"
"supaya";1;"sangkan";"c";"--";"--";"sangkan"
"tadinya";1;"tadina";"ad";"waktu";"--";"tadina"
"tak";1;"teu";"ad";"--";"--";"teu"
"tapi";1;"tapi";"c";"--";"--";"tapi"
"telah";1;"geus";"m";"--";"--";"geus"
"tentang";1;"ngeunaan";"p";"--";"--";"keuna"
"tentu";1;"tangtu";"ad";"--";"--";"tangtu"
"tentu";0;"puguh";"ad";;;"puguh"
"tentunya";1;"tinangtu";"ad";"--";"--";"tangtu"
"terdahulu";1;"tiheula";"ad";"--";"--";"heula"
"terhadap";1;"ka";"p";"--";"--";"ka"
"terkadang";1;"sakapeung";"ad";"waktu";"--";"kapeung"
"terlebih";1;"leuwih";"ad";"--";"--";"leuwih"
"terus";1;"terus";"c";"--";"--";"terus"
"tetap";1;"tetep";"ad";"--";"--";"tetep"
"tetapi";1;"tapi";"c";"--";"--";"tapi"
"tiap";1;"unggal";"ad";"--";"--";"unggal"
"tidak";1;"henteu";"ad";"--";"--";"henteu"
"ulang";1;"deui";"ad";"waktu";"--";"deui"
